,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
206,KARB0,12672,KARB0,Ann Arbor / Pittsfield,US,MI,,KARB,42.223,-83.7456,256.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,0.0
208,KARV0,7484,KARV0,Minocqua / Woodruff,US,WI,,KARV,45.9279,-89.7309,497.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2009-01-01,2022-01-01,392.4650806467471
472,KPNT0,7310,KPNT0,Pontiac / Cayuga,US,IL,,KPNT,40.9244,-88.6239,203.0,America/Chicago,2006-09-26,2022-09-22,2011-03-18,2022-04-24,2015-01-01,2022-01-01,268.175427890862
471,KPNM0,7166,KPNM0,Princeton / Princetown [Misspelling],US,MN,,KPNM,45.5599,-93.6082,299.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,543.1495742413008
470,KPMV0,6991,KPMV0,Plattsmouth / Mynard,US,NE,,KPMV,40.9484,-95.9174,367.0,America/Chicago,2006-11-21,2022-09-22,2006-11-22,2022-04-24,2009-01-01,2022-01-01,636.2083673390464
207,KARR0,6625,KARR0,Aurora / Sugar Grove,US,IL,,KARR,41.7719,-88.4757,217.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,245.4696517264121
205,KAQP0,6345,KAQP0,Appleton,US,MN,,KAQP,45.2275,-96.0043,311.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,647.0815922563789
469,KPLN0,6289,KPLN0,Pellston,US,MI,,KPLN,45.5709,-84.7967,220.0,America/Detroit,1973-01-01,2022-09-22,1973-01-01,2022-04-24,2000-01-01,2021-01-01,237.0168175811297
202,KANQ0,6010,KANQ0,Angola / Flint,US,IN,,KANQ,41.6397,-85.0835,303.0,America/Indiana/Indianapolis,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,79.84114013411553
219,KAZO0,5909,KAZO0,Kalamazoo / Colonial Acres Mobile Home Park,US,MI,,KAZO,42.2344,-85.5516,266.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,92.6427742562016
209,KASW0,5855,KASW0,Warsaw / Monoquet,US,IN,,KASW,41.2747,-85.8401,259.0,America/Indiana/Indianapolis,2006-10-28,2022-09-22,2009-09-05,2022-04-24,2013-01-01,2022-01-01,126.49053252893196
213,KAUH0,5807,KAUH0,Aurora,US,NE,,KAUH,40.8941,-97.9946,550.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,743.3848111976686
478,KPWC0,5720,KPWC0,Pine River,US,MN,,KPWC,46.7248,-94.3817,395.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,610.0708967624741
215,KAWG0,5703,KAWG0,Washington,US,IA,,KAWG,41.275,-91.6752,230.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2014-01-01,2022-01-01,414.8552043980395
483,KRCX0,5700,KRCX0,Ladysmith / Tony,US,WI,,KRCX,45.4968,-91.0005,378.0,America/Chicago,2009-06-17,2022-09-22,2009-06-17,2022-04-24,2009-01-01,2022-01-01,426.8658462808973
200,KAMN0,5695,KAMN0,Alma / Eugene,US,MI,,KAMN,43.3221,-84.6879,230.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,89.73237166685479
216,KAXA0,5685,KAXA0,Algona / Hobarton,US,IA,,KAXA,43.0779,-94.272,371.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,539.2306932927802
464,KPHD0,5672,KPHD0,New Philadelphia / Schoenbrunn Estates,US,OH,,KPHD,40.4702,-81.4199,273.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,171.0404471434868
196,KAIG0,5631,KAIG0,Antigo,US,WI,,KAIG,45.1542,-89.1107,464.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,336.31777542562384
214,KAUM0,5623,KAUM0,Austin,US,MN,,KAUM,43.6626,-92.9329,376.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,476.1359307612848
486,KRHI0,5617,KRHI0,Rhinelander,US,WI,,KRHI,45.6309,-89.4666,495.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,369.7695492707318
477,KPVB0,5617,KPVB0,Platteville / Ipswich,US,WI,,KPVB,42.6894,-90.4444,312.0,America/Chicago,2008-08-25,2022-09-22,2008-08-27,2022-04-24,2015-01-01,2022-01-01,343.80551761190543
466,KPJC0,5603,KPJC0,Zelienople / Old Furnace,US,PA,,KPJC,40.802,-80.1609,274.0,America/New_York,2020-01-14,2022-09-22,2020-01-14,2022-04-12,2020-01-01,2021-01-01,210.19501361119515
461,KPDC0,5601,KPDC0,Prairie Du Chien / Selchs Mobile Home Park,US,WI,,KPDC,43.0193,-91.1237,201.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,379.9825982676877
463,KPEX0,5598,KPEX0,Paynesville,US,MN,,KPEX,45.3721,-94.7447,361.0,America/Chicago,2005-08-12,2022-09-22,2005-08-13,2022-04-24,2011-01-01,2022-01-01,590.8219512703417
488,KRNH0,5590,KRNH0,New Richmond / Woodbridge Trailer Court,US,WI,,KRNH,45.1478,-92.5392,304.0,America/Chicago,2006-01-01,2022-09-22,2006-01-02,2022-04-24,2007-01-01,2022-01-01,484.2817227246464
476,KPTK0,5585,KPTK0,Pontiac / Waterford,US,MI,,KPTK,42.6656,-83.4205,299.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,34.777644646083594
475,KPQN0,5585,KPQN0,Pipestone,US,MN,,KPQN,43.9833,-96.3003,529.0,America/Chicago,2006-01-01,2022-08-02,2006-01-01,2022-04-24,2012-01-01,2022-01-01,645.894728563919
473,KPOV0,5567,KPOV0,Ravenna / Birchwood Manor,US,OH,,KPOV,41.2102,-81.2516,365.0,America/New_York,2009-03-18,2022-09-22,2009-03-19,2022-04-25,2009-01-01,2022-01-01,146.6773196844396
221,KBAX0,5555,KBAX0,Bad Axe,US,MI,,KBAX,43.7802,-82.9854,233.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2008-01-01,2022-01-01,114.18390299253468
224,KBCK0,5553,KBCK0,Black River Falls / Charter Oak Mills (Historical),US,WI,,KBCK,44.2507,-90.8553,255.0,America/Chicago,2010-11-18,2022-09-22,2010-11-19,2022-04-24,2011-01-01,2022-01-01,385.0123541153232
465,KPHN0,5552,KPHN0,Port Huron / Marysville,US,MI,,KPHN,42.911,-82.5289,198.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2007-01-01,2022-01-01,78.1577427351448
484,KRDK0,5551,KRDK0,Red Oak / Villa Village Mobile Home Park,US,IA,,KRDK,41.0108,-95.2589,319.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,601.6228126050153
220,KBAC0,5531,KBAC0,Valley City / North Valley City,US,ND,,KBAC,46.9412,-98.018,427.0,America/Chicago,2010-12-15,2022-09-22,2010-12-16,2022-04-24,2014-01-01,2022-01-01,774.4870282054259
489,KRNP0,5529,KRNP0,Owosso / Middletown,US,MI,,KRNP,42.993,-84.1385,224.0,America/Detroit,2005-01-01,2022-09-22,2005-01-01,2022-04-25,2006-01-01,2022-01-01,56.79927576592002
198,KAIT0,5528,KAIT0,Aitkin / Welshons Company Mobile Home Park,US,MN,,KAIT,46.5484,-93.6768,368.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2009-01-01,2022-01-01,574.6758016180204
462,KPEA0,5519,KPEA0,Pella,US,IA,,KPEA,41.4012,-92.9459,270.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,478.16678906697217
467,KPKD0,5512,KPKD0,Park Rapids,US,MN,,KPKD,46.9007,-95.0731,440.0,America/Chicago,1990-01-11,2022-09-22,1995-07-05,2022-04-24,1998-01-01,2022-01-01,644.845503646951
193,KAFJ0,5488,KAFJ0,Washington / Lagonda,US,PA,,KAFJ,40.1365,-80.2902,361.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,230.5882747829089
211,KATW0,5482,KATW0,Appleton / Greenville,US,WI,,KATW,44.2581,-88.5191,280.0,America/Chicago,2006-01-01,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,278.8164876192577
218,KAXV0,5482,KAXV0,Wapakoneta / New Knoxville,US,OH,,KAXV,40.4936,-84.2981,278.0,America/New_York,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,122.75378715833484
460,KPCZ0,5477,KPCZ0,Waupaca,US,WI,,KPCZ,44.3332,-89.0198,256.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-24,2008-01-01,2022-01-01,303.20790895072105
201,KAMW0,5472,KAMW0,Ames / Old Orchard Mobile Home Park,US,IA,,KAMW,41.9921,-93.6218,291.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,507.5464865837735
468,KPLD0,5463,KPLD0,Portland,US,IN,,KPLD,40.4516,-84.989,282.0,America/Indiana/Indianapolis,2020-01-14,2022-07-06,2020-01-14,2022-04-18,2020-01-01,2022-01-01,138.2923765450338
481,KRAC0,5463,KRAC0,Racine / Ives,US,WI,,KRAC,42.7612,-87.8139,205.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,211.09090452815312
197,KAIO0,5462,KAIO0,Atlantic,US,IA,,KAIO,41.4038,-95.0487,355.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2015-01-01,2022-01-01,585.8885535016162
490,KROS0,5451,KROS0,Rush City / Stenger's Mobile Home Park,US,MN,,KROS,45.6971,-92.9522,282.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,517.5723889783686
217,KAXN0,5448,KAXN0,Alexandria / Mobile Park Estates,US,MN,,KAXN,45.8663,-95.3947,434.0,America/Chicago,1973-01-01,2022-09-22,1973-01-01,2022-04-24,1999-01-01,2022-01-01,631.5307809340158
232,KBKL0,5444,KBKL0,Brookville / Old Chinatown,US,PA,,KBKL,41.5175,-81.6833,178.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,116.99360667655972
212,KATY0,5441,KATY0,Watertown,US,SD,,KATY,44.914,-97.1547,533.0,America/Chicago,1948-01-01,2022-09-22,1948-01-24,2022-04-24,1948-01-01,2022-01-01,697.3441811506647
480,KPZQ0,5426,KPZQ0,Presque Isle / Rogers City,US,MI,,KPZQ,45.4071,-83.8129,204.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2006-01-01,2022-01-01,219.8550663610497
479,KPWK0,5405,KPWK0,Chicago / Wood Oaks Glen,US,IL,,KPWK,42.1143,-87.9015,197.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2021-01-01,213.4950029314821
458,KPBH0,5400,KPBH0,Phillips,US,WI,,KPBH,45.7089,-90.4025,456.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,409.7905098113207
225,KBDE0,5383,KBDE0,Baudette,US,MN,,KBDE,48.7284,-94.6122,331.0,America/Chicago,1983-11-04,2022-09-22,1995-02-11,2022-04-24,1998-01-01,2022-01-01,692.045921904989
194,KAFK0,5381,KAFK0,Nebraska City / Paul,US,NE,,KAFK,40.6054,-95.8678,355.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,638.9962188600691
487,KRMY0,5381,KRMY0,Marshall,US,MI,,KRMY,42.2512,-84.9554,287.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2008-01-01,2022-01-01,62.080064228429855
485,KRGK0,5379,KRGK0,Red Wing / Oak Hill Mobile Home Park,US,MN,,KRGK,44.5894,-92.485,237.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,468.9319521832161
482,KRCR0,5359,KRCR0,Rochester / Big Hill,US,IN,,KRCR,41.0655,-86.1817,241.0,America/Indiana/Indianapolis,2010-06-30,2022-09-22,2011-02-09,2022-04-25,2012-01-01,2022-01-01,149.27135884330954
491,KRPD0,5313,KRPD0,Rice Lake / Cameron,US,WI,,KRPD,45.4201,-91.7733,338.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,457.670634479828
494,KRRL0,5294,KRRL0,Merrill,US,WI,,KRRL,45.1989,-89.7129,402.0,America/Chicago,2006-01-01,2022-09-22,2006-01-02,2022-04-24,2008-01-01,2022-01-01,362.491650813878
493,KRQB0,5290,KRQB0,Big Rapids / Havenview Mobile Home Court,US,MI,,KRQB,43.7226,-85.5041,302.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2007-01-01,2022-01-01,136.59895664733523
497,KRYV0,5277,KRYV0,Watertown,US,WI,,KRYV,43.1696,-88.7232,254.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,261.6814982535224
454,KOXI0,5268,KOXI0,Knox / Indian Hill,US,IN,,KOXI,41.3302,-86.6648,209.0,America/Indiana/Knox,2008-10-23,2022-09-22,2009-06-09,2022-04-24,2011-01-01,2022-01-01,162.89853132086128
498,KRZL0,5255,KRZL0,Rensselaer,US,IN,,KRZL,40.9479,-87.1826,213.0,America/Chicago,2011-05-16,2022-09-22,2011-05-17,2022-04-24,2020-01-01,2022-01-01,198.61789529821385
223,KBBW0,5246,KBBW0,Broken Bow,US,NE,,KBBW,41.4365,-99.6422,776.0,America/Chicago,2006-01-01,2022-09-22,2006-01-02,2022-04-24,2006-01-01,2022-01-01,821.1507995647422
199,KAKR0,5243,KAKR0,Akron / Derby Downs,US,OH,,KAKR,41.0375,-81.4669,325.0,America/New_York,1999-08-31,2022-09-22,1999-09-02,2022-04-24,2005-01-01,2022-01-01,143.5690883905256
191,KADU0,5231,KADU0,Audubon / Nishna,US,IA,,KADU,41.7014,-94.9205,392.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,576.3461076671047
190,KADG0,5223,KADG0,Adrian / Maple Woods Manufactured Home Community,US,MI,,KADG,41.8677,-84.0773,243.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,29.87506560478955
452,KOWA0,5220,KOWA0,Owatonna / Clinton Falls,US,MN,,KOWA,44.123,-93.2588,349.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,497.89989642098186
453,KOWX0,5209,KOWX0,Ottawa / Upper Tauwa (Historical),US,OH,,KOWX,41.0356,-83.982,233.0,America/New_York,2016-09-09,2022-09-22,2016-09-10,2022-04-25,2017-01-01,2021-01-01,82.85540188170684
459,KPCW0,5200,KPCW0,Port Clinton / Gypsum,US,OH,,KPCW,41.5163,-82.8695,180.0,America/New_York,2014-07-31,2022-09-22,2014-08-01,2022-04-25,2020-01-01,2022-01-01,66.4929552626028
457,KP580,5180,KP580,Port Hope / Huron City,US,MI,,KP58,44.0219,-82.7931,180.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2021-01-01,133.19116580861095
188,KACQ0,5157,KACQ0,Waseca / Vista-Villa Mobilehome Community,US,MN,,KACQ,44.0735,-93.5529,344.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-19,2006-01-01,2022-01-01,511.5565936988675
210,KASX0,5141,KASX0,Ashland / Ashland Junction,US,WI,,KASX,46.5485,-90.919,252.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,463.723704707905
195,KAHQ0,5139,KAHQ0,Wahoo,US,NE,,KAHQ,41.2406,-96.5946,373.0,America/Chicago,2011-05-17,2022-09-22,2011-05-18,2022-04-24,2014-01-01,2022-01-01,667.0593106062588
226,KBDH0,5123,KBDH0,Willmar / Parkwood Estates,US,MN,,KBDH,45.117,-95.1293,343.0,America/Chicago,2007-07-24,2022-09-22,2007-07-25,2022-04-24,2009-01-01,2022-01-01,603.8119273973081
495,KRRT0,5102,KRRT0,Warroad / Longworth,US,MN,,KRRT,48.9415,-95.3485,328.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,727.8983464138103
474,KPPO0,5086,KPPO0,La Porte / South Laporte,US,IN,,KPPO,41.5725,-86.7345,248.0,America/Chicago,2012-04-02,2022-09-22,2012-04-03,2022-04-24,2015-01-01,2022-01-01,160.51363577902003
192,KAEL0,5074,KAEL0,Albert Lea / Bancroft,US,MN,,KAEL,43.6815,-93.3672,384.0,America/Chicago,2006-01-01,2022-09-22,2006-01-02,2022-04-24,2006-01-01,2022-01-01,497.84925323214895
492,KRPJ0,5067,KRPJ0,Rochelle / Southgate,US,IL,,KRPJ,41.893,-89.0783,238.0,America/Chicago,2006-05-16,2022-09-22,2011-03-16,2022-04-24,2015-01-01,2022-01-01,275.1821196339896
499,KRZN0,5029,KRZN0,Siren,US,WI,,KRZN,45.8227,-92.3725,302.0,America/Chicago,2006-01-02,2022-09-22,2006-12-14,2022-04-24,2007-01-01,2022-01-01,496.0638095791082
203,KANW0,5023,KANW0,Ainsworth / Sandridge,US,NE,,KANW,42.5792,-99.993,789.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2007-01-01,2022-01-01,830.2484826212379
204,KAOH0,5012,KAOH0,Lima / Eastwood Estates,US,OH,,KAOH,40.7075,-84.0271,297.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,105.6023135198338
227,KBEH0,4992,KBEH0,Benton Harbor Airport / Benton Heights,US,MI,,KBEH,42.1286,-86.4285,198.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,137.88605736828004
235,KBNW0,4991,KBNW0,Boone,US,IA,,KBNW,42.0496,-93.8476,354.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,518.7849004382413
222,KBBB0,4944,KBBB0,Benson,US,MN,,KBBB,45.3319,-95.6506,317.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,632.288449124364
496,KRYM0,4937,KRYM0,Ray S Miller Aaf / Camp Ripley Junction,US,MN,,KRYM,46.0912,-94.3605,351.0,America/Chicago,2012-07-13,2022-09-22,2014-02-02,2022-04-24,,,590.6992626944947
435,KOEB0,4936,KOEB0,Coldwater / Countryside Mobile Court,US,MI,,KOEB,41.9336,-85.0523,292.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2008-01-01,2022-01-01,70.0930757576492
234,KBMI0,4912,KBMI0,Bloomington/Normal Airport / Colonial Meadows,US,IL,,KBMI,40.4771,-88.9159,266.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,294.55775786982827
189,KADC0,4855,KADC0,Wadena / West Wind Estates,US,MN,,KADC,46.4503,-95.211,417.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,637.899680601603
450,KOVL0,4847,KOVL0,Olivia,US,MN,,KOVL,44.7786,-95.0328,328.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,593.4466213574061
447,KOSU0,4800,KOSU0,Columbus / Linworth,US,OH,,KOSU,40.0798,-83.073,276.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,151.99933967436445
243,KC290,4796,KC290,Middleton,US,WI,,KC29,43.1143,-89.5315,283.0,America/Chicago,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,301.01188389423
230,KBIV0,4790,KBIV0,Holland / Lincoln Estates Mobile Home Park,US,MI,,KBIV,42.7428,-86.1078,213.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,125.89995374860082
507,KSLB0,4783,KSLB0,Storm Lake / Casino Beach,US,IA,,KSLB,42.5973,-95.2407,454.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2014-01-01,2022-01-01,588.0793985065967
504,KSGS0,4765,KSGS0,Saint Paul / Inver Grove Heights,US,MN,,KSGS,44.8571,-93.0329,250.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,500.2473726320299
451,KOVS0,4763,KOVS0,Boscobel,US,WI,,KOVS,43.1608,-90.674,205.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,358.57012844226426
241,KBVN0,4760,KBVN0,Albion / Loretto,US,NE,,KBVN,41.7286,-98.0558,551.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-24,2008-01-01,2022-01-01,736.9066169552491
229,KBIE0,4739,KBIE0,Beatrice / Hoyle North 77 Mobile Homes,US,NE,,KBIE,40.3013,-96.7541,403.0,America/Chicago,2006-01-01,2022-09-22,2006-01-02,2022-04-24,2008-01-01,2022-01-01,689.5054408474502
236,KBRD0,4732,KBRD0,Brainerd / Lazy Acre's Trailer Court,US,MN,,KBRD,46.4017,-94.1356,376.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,589.7059514219417
500,KS320,4728,KS320,Cooperstown,US,ND,,KS32,47.4228,-98.1059,434.0,America/Chicago,2015-09-26,2022-09-22,2015-09-27,2022-04-24,2020-01-01,2022-01-01,790.131212169427
231,KBJJ0,4722,KBJJ0,Wooster / Smithville,US,OH,,KBJJ,40.8748,-81.8882,346.0,America/New_York,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,133.8935882463676
242,KBWP0,4692,KBWP0,Wahpeton / Boise De Sioux Mobile Estates,US,ND,,KBWP,46.2443,-96.6072,295.0,America/Chicago,2006-01-01,2022-09-22,2006-01-06,2022-04-24,2006-01-01,2022-01-01,695.1681651076915
502,KSDA0,4690,KSDA0,Shenandoah,US,IA,,KSDA,40.7516,-95.4137,296.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2015-01-01,2022-01-01,613.4308542172228
238,KBTL0,4678,KBTL0,Battle Creek / Avenue A Mobile Home Estates,US,MI,,KBTL,42.3073,-85.2515,290.0,America/Detroit,1942-10-01,2022-09-22,1942-11-02,2022-04-24,1942-01-01,2022-01-01,77.42060264704128
441,KONL0,4646,KONL0,O'neill / Douthit Trailer Court,US,NE,,KONL,42.4695,-98.6873,620.0,America/Chicago,2006-01-01,2022-09-22,2006-01-03,2022-04-24,2007-01-01,2022-01-01,764.2310853557013
237,KBTA0,4629,KBTA0,Blair / Bennington,US,NE,,KBTA,41.4148,-96.109,402.0,America/Chicago,2008-01-07,2022-09-22,2008-01-08,2022-04-24,2009-01-01,2022-01-01,640.1474815316034
449,KOTM0,4620,KOTM0,Ottumwa / Keb (Historical),US,IA,,KOTM,41.1066,-92.4479,258.0,America/Chicago,1973-01-01,2022-09-22,1973-01-01,2022-04-24,1975-01-01,2021-01-01,456.6778992745756
183,K7B4X,4611,K7B4X,Markdale,CA,ON,,,44.27,-80.71,411.0,America/Toronto,,,2004-09-01,2022-09-10,2004-01-01,2021-01-01,208.3836757514752
501,KSAZ0,4604,KSAZ0,Staples,US,MN,,KSAZ,46.3809,-94.8066,393.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,618.2650391298951
456,KOZW0,4598,KOZW0,Howell / Burkhart Ridge Mobile Home Park,US,MI,,KOZW,42.6294,-83.9822,293.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2007-01-01,2022-01-01,30.548844226664635
181,K4I30,4590,K4I30,Mount Vernon-Knox Co / Brandon,US,OH,,K4I3,40.3289,-82.5261,363.0,America/New_York,2008-02-29,2022-09-21,2008-03-02,2022-03-09,2011-01-01,2021-01-01,145.30836811168066
446,KOSH0,4581,KOSH0,Oshkosh / Stony Beach,US,WI,,KOSH,43.9844,-88.557,246.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,271.99288623187374
437,KOKK0,4571,KOKK0,Kokomo / Vermont,US,IN,,KOKK,40.5282,-86.059,253.0,America/Indiana/Indianapolis,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,167.73736641167838
443,KOOA0,4561,KOOA0,Oskaloosa / Cedar,US,IA,,KOOA,41.2261,-92.4938,256.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-24,2012-01-01,2022-01-01,457.29476822795846
438,KOLG0,4555,KOLG0,Solon Springs,US,WI,,KOLG,46.3148,-91.8164,336.0,America/Chicago,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,489.6459149826387
513,KSUE0,4555,KSUE0,Sturgeon Bay / Highland Heights Mobile Village,US,WI,,KSUE,44.8437,-87.4216,221.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2008-01-01,2022-01-01,258.4477245250061
503,KSFY0,4554,KSFY0,Savanna / Ayers,US,IL,,KSFY,42.0458,-90.1079,188.0,America/Chicago,2006-08-03,2022-09-22,2011-03-15,2022-04-24,2011-01-01,2022-01-01,327.0006382269547
445,KOSC0,4547,KOSC0,Oscoda / Whispering Woods Mobile Home Community,US,MI,,KOSC,44.4515,-83.3942,193.0,America/Detroit,1943-07-01,2022-09-22,1943-07-02,2022-04-25,1943-01-01,2022-01-01,154.85725798840036
233,KBKX0,4533,KBKX0,Brookings,US,SD,,KBKX,44.3048,-96.8169,502.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,674.1350287399814
186,K9D70,4521,K9D70,Cando,US,ND,,K9D7,48.48,-99.2364,452.0,America/Chicago,2010-11-18,2022-09-22,2010-11-19,2021-10-18,2014-01-01,2016-01-01,866.9449144623665
430,KMXO0,4485,KMXO0,Monticello,US,IA,,KMXO,42.2204,-91.1633,254.0,America/Chicago,2006-01-01,2022-05-20,2006-01-01,2022-04-24,2014-01-01,2022-01-01,380.4227283022207
249,KCBF0,4443,KCBF0,Council Bluffs / Gilliatt,US,IA,,KCBF,41.2601,-95.7587,380.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,623.9623382601698
444,KORB0,4440,KORB0,Orr / Glendale,US,MN,,KORB,48.0159,-92.8561,400.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-11,2006-01-01,2022-01-01,597.943097962108
512,KSTP0,4437,KSTP0,Saint Paul,US,MN,,KSTP,44.9346,-93.0603,215.0,America/Chicago,1983-11-03,2022-09-22,1991-12-16,2022-04-24,2005-01-01,2022-01-01,503.2051800611909
